val,target
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,167
30,299
31,302
32,302
33,480
34,569
35,576
36,576
37,755
38,757
39,757
40,757
41,965
42,964
43,964
44,964
45,1160
46,1268
47,1367
48,1405
49,1429
50,1462
51,1480
52,1460
53,1454
54,1427
55,1423
56,1378
57,1354
58,1340
59,1301
60,1253
61,1252
62,1204
63,1186
64,1181
65,1152
66,1114
67,1051
68,916
69,850
70,707
71,627
72,627
73,417
74,46
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,80
22,113
23,145
24,175
25,221
26,301
27,420
28,490
29,754
30,1179
31,1505
32,1819
33,1973
34,2245
35,2416
36,2524
37,2548
38,2577
39,2567
40,2353
41,2234
42,1983
43,1425
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,328
70,675
71,884
72,1031
73,1021
74,1065
75,1094
76,1103
77,1083
78,1026
79,980
80,934
81,875
82,738
83,633
84,569
85,498
86,419
87,360
88,309
89,250
90,187
91,113
92,48
93,0
94,0
95,0
96,0
1,11
2,20
3,22
4,22
5,22
6,23
7,26
8,29
9,37
10,36
11,32
12,34
13,35
14,35
15,36
16,35
17,40
18,39
19,45
20,40
21,44
22,54
23,64
24,78
25,91
26,121
27,171
28,198
29,203
30,234
31,312
32,454
33,454
34,536
35,621
36,732
37,732
38,732
39,826
40,843
41,661
42,661
43,661
44,661
45,565
46,565
47,565
48,565
49,418
50,418
51,418
52,418
53,292
54,292
55,292
56,292
57,224
58,224
59,224
60,224
61,155
62,155
63,155
64,155
65,155
66,155
67,261
68,318
69,315
70,314
71,334
72,344
73,344
74,344
75,395
76,422
77,457
78,473
79,483
80,505
81,501
82,500
83,485
84,446
85,399
86,367
87,328
88,295
89,253
90,195
91,174
92,154
93,125
94,108
95,76
96,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,71
30,167
31,320
32,352
33,421
34,530
35,667
36,667
37,767
38,895
39,969
40,954
41,997
42,1138
43,1261
44,1241
45,1385
46,1439
47,1502
48,1528
49,1564
50,1534
51,1504
52,1455
53,1472
54,1436
55,1381
56,1334
57,1287
58,1164
59,1117
60,1083
61,1075
62,1032
63,1022
64,1037
65,1056
66,1020
67,980
68,912
69,851
70,815
71,674
72,620
73,557
74,477
75,241
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
