val,target
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,167
30,299
31,302
32,302
33,480
34,569
35,576
36,576
37,755
38,757
39,757
40,757
41,965
42,964
43,964
44,964
45,1160
46,1268
47,1367
48,1405
49,1429
50,1462
51,1480
52,1460
53,1454
54,1427
55,1423
56,1378
57,1354
58,1340
59,1301
60,1253
61,1252
62,1204
63,1186
64,1181
65,1152
66,1114
67,1051
68,916
69,850
70,707
71,627
72,627
73,417
74,46
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,7
24,7
25,49
26,49
27,49
28,49
29,357
30,603
31,769
32,988
33,1197
34,1348
35,1501
36,1640
37,1735
38,1774
39,1823
40,1755
41,1699
42,1545
43,1324
44,856
45,856
46,856
47,847
48,566
49,566
50,566
51,547
52,398
53,398
54,398
55,425
56,329
57,329
58,329
59,388
60,355
61,355
62,355
63,464
64,517
65,517
66,517
67,588
68,799
69,908
70,993
71,1021
72,1021
73,917
74,814
75,671
76,472
77,236
78,236
79,236
80,236
81,70
82,70
83,70
84,70
85,27
86,27
87,27
88,27
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
1,12
2,20
3,22
4,23
5,24
6,26
7,30
8,33
9,38
10,37
11,34
12,36
13,36
14,37
15,37
16,35
17,41
18,43
19,46
20,44
21,55
22,76
23,96
24,140
25,230
26,359
27,555
28,763
29,781
30,890
31,1287
32,1543
33,1543
34,1701
35,1850
36,1795
37,1795
38,1775
39,1355
40,163
41,72
42,72
43,72
44,72
45,72
46,72
47,72
48,72
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,1
62,1
63,1
64,1
65,1
66,167
67,403
68,565
69,580
70,587
71,669
72,695
73,695
74,705
75,748
76,748
77,726
78,694
79,658
80,654
81,614
82,573
83,538
84,478
85,419
86,386
87,339
88,293
89,250
90,192
91,170
92,153
93,127
94,111
95,78
96,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,265
30,405
31,557
32,585
33,780
34,899
35,1017
36,1017
37,1210
38,1306
39,1325
40,1309
41,1370
42,1355
43,1289
44,1240
45,1210
46,1206
47,1210
48,1158
49,1127
50,1107
51,1006
52,1007
53,953
54,908
55,811
56,847
57,778
58,762
59,710
60,770
61,771
62,798
63,795
64,851
65,876
66,926
67,896
68,896
69,938
70,887
71,817
72,790
73,664
74,495
75,259
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
